Block number,Block timestamp,Swap count,Avg price,Min price,Max price,Price stddev,Price range,Total volume usd,Volatility flag,Min price deviation pct
24081586,29:11.0,2,86979.83,86908.99,87050.67,100.18,141.68,26992.7,NORMAL,-11.7
24081585,28:59.0,1,86909.04,86909.04,86909.04,,0,11264.98,NORMAL,-11.7
24081584,28:47.0,1,86908.85,86908.85,86908.85,,0,1940.05,NORMAL,-11.7
24081575,26:59.0,4,86909.32,86908.92,86910.17,0.58,1.25,32103.64,NORMAL,-11.7
24081574,26:47.0,1,86909.03,86909.03,86909.03,,0,22154.66,NORMAL,-11.7
24081573,26:35.0,1,86909.04,86909.04,86909.04,,0,10613.96,NORMAL,-11.7
24081568,25:35.0,1,86909.07,86909.07,86909.07,,0,3392.9,NORMAL,-11.7
24081567,25:23.0,1,86909,86909,86909,,0,18588.74,NORMAL,-11.7
24081566,25:11.0,2,86867.94,86867.94,86867.94,0,0,18.75,NORMAL,-11.74
24081565,24:59.0,6,86916.54,86909,86925.68,7.56,16.68,11923.79,NORMAL,-11.7
24081563,24:35.0,1,86923.08,86923.08,86923.08,,0,9.04,NORMAL,-11.68
24081552,22:23.0,1,86908.89,86908.89,86908.89,,0,1960.7,NORMAL,-11.7
24081548,21:35.0,1,86812.14,86812.14,86812.14,,0,7.33,NORMAL,-11.79
24081546,21:11.0,1,86964.07,86964.07,86964.07,,0,10.02,NORMAL,-11.64
24081544,20:35.0,1,86891.61,86891.61,86891.61,,0,5.82,NORMAL,-11.71
24081543,20:23.0,1,86884.96,86884.96,86884.96,,0,20.07,NORMAL,-11.72
24081542,20:11.0,3,86562.74,85858.59,86920.66,609.85,1062.07,34614.41,ELEVATED_VOLATILITY,-12.76
24081539,19:35.0,2,86908.94,86908.85,86909.02,0.12,0.17,29753.8,NORMAL,-11.7
24081533,18:23.0,2,86906.8,86906.8,86906.8,0,0,170.38,NORMAL,-11.7
24081520,15:47.0,2,86908.95,86908.95,86908.95,0,0,5769.35,NORMAL,-11.7
24081519,15:35.0,1,86908.95,86908.95,86908.95,,0,1018.56,NORMAL,-11.7
24081518,15:23.0,2,86915.14,86909.18,86921.1,8.43,11.92,4335.09,NORMAL,-11.7
24081517,15:11.0,2,86909.29,86908.85,86909.72,0.61,0.87,6512.85,NORMAL,-11.7
24081516,14:59.0,1,86909.61,86909.61,86909.61,,0,236.5,NORMAL,-11.7
24081515,14:47.0,2,86896.56,86883.88,86909.23,17.93,25.36,3477.5,NORMAL,-11.72
24081502,12:11.0,1,86910.13,86910.13,86910.13,,0,35.79,NORMAL,-11.69
24081500,11:47.0,1,86909.02,86909.02,86909.02,,0,18686.86,NORMAL,-11.7
24081495,10:47.0,1,86801.75,86801.75,86801.75,,0,6.35,NORMAL,-11.8
