whale_nickname,asset_name,token_amount,collateral_usd_estimate,debt_amount_usdt,original_user_address
Top 10 Borrower,WETH,40974,122922000,63000000,0xb8551abd2bb66498f6d257ae181d681fd2401e8a
Whale #3,WETH,256313.97,768941921.1,20000000,0xe5c248d8d3f3871bd0f68e9c4743459c43bb4e4c
Whale #2,WETH,222421.77,667265311.5,20000000,0xfaf1358fe6a9fa29a169dfc272b14e709f54840f
Whale #3,USDC,199999997,199999997,20000000,0xe5c248d8d3f3871bd0f68e9c4743459c43bb4e4c
Top 10 Borrower,WETH,10353,31059000,10000000,0x8fdc74bad4aa20904a362d4b69434a0cf4d97f43
Top 10 Borrower,weETH,3490641.97,10471925914,9127394.72,0xc30f6ee36a1746dd71c7e81529eeae7ce2f52252
Top 10 Borrower,WETH,101239.52,303718573.7,9127394.72,0xc30f6ee36a1746dd71c7e81529eeae7ce2f52252
Top 10 Borrower,USDT,25470580.37,25470580.37,9127394.72,0xc30f6ee36a1746dd71c7e81529eeae7ce2f52252
Top 10 Borrower,USDC,4011702.59,4011702.59,9127394.72,0xc30f6ee36a1746dd71c7e81529eeae7ce2f52252
Top 10 Borrower,Other Collateral,0,0,9127394.72,0xc30f6ee36a1746dd71c7e81529eeae7ce2f52252
Whale #1,WETH,141506,424518000,8000000,0x85e05c10db73499fbdecab0dfbb794a446feeec8
Whale #1,USDC,219999997,219999997,8000000,0x85e05c10db73499fbdecab0dfbb794a446feeec8
Top 10 Borrower,WETH,84891,254673000,5000000,0x6e9e81efcc4cbff68ed04c4a90aea33cb22c8c89
Top 10 Borrower,USDC,190209991,190209991,5000000,0x6e9e81efcc4cbff68ed04c4a90aea33cb22c8c89
Whale #4,WETH,13215811.83,39647435481,3177674.17,0xa7c624014699a8b537cc4b326eb65f00852ee2a3
Whale #4,weETH,2244948.14,6734844411,3177674.17,0xa7c624014699a8b537cc4b326eb65f00852ee2a3
Whale #4,USDC,2454466006,2454466006,3177674.17,0xa7c624014699a8b537cc4b326eb65f00852ee2a3
Whale #4,USDT,2154480427,2154480427,3177674.17,0xa7c624014699a8b537cc4b326eb65f00852ee2a3
Whale #4,Other Collateral,1409514086,1409514086,3177674.17,0xa7c624014699a8b537cc4b326eb65f00852ee2a3
Whale #4,WBTC,80.14,7212393.14,3177674.17,0xa7c624014699a8b537cc4b326eb65f00852ee2a3
Whale #4,wstETH,2133.34,6400032.02,3177674.17,0xa7c624014699a8b537cc4b326eb65f00852ee2a3
Whale #4,Other Collateral,4138706.54,4138706.54,3177674.17,0xa7c624014699a8b537cc4b326eb65f00852ee2a3
Whale #5,WETH,7324.28,21972846.89,2001625,0x4444ee1efbcfc7716754d4df119a1dbbe29934b3
Whale #5,USDT,1398295.09,1398295.09,2001625,0x4444ee1efbcfc7716754d4df119a1dbbe29934b3
Whale #5,sDAI,558774.69,558774.69,2001625,0x4444ee1efbcfc7716754d4df119a1dbbe29934b3
Whale #5,USDC,117346.49,117346.49,2001625,0x4444ee1efbcfc7716754d4df119a1dbbe29934b3
Whale #5,wstETH,26.61,79826.6,2001625,0x4444ee1efbcfc7716754d4df119a1dbbe29934b3
Whale #5,Other Collateral,12950.23,12950.23,2001625,0x4444ee1efbcfc7716754d4df119a1dbbe29934b3
Whale #5,Other Collateral,978.04,978.04,2001625,0x4444ee1efbcfc7716754d4df119a1dbbe29934b3
Whale #5,Other Collateral,99.41,99.41,2001625,0x4444ee1efbcfc7716754d4df119a1dbbe29934b3
Top 10 Borrower,WBTC,1839.64,165567864.7,1500000,0x94def848159b30605afe0c1d1ac43d6d588b940a
Top 10 Borrower,WETH,1194.6,3583800,1500000,0x94def848159b30605afe0c1d1ac43d6d588b940a
Top 10 Borrower,USDT,591110.78,591110.78,1500000,0x94def848159b30605afe0c1d1ac43d6d588b940a
