whale_nickname,asset_name,collateral_amount_adjusted,debt_amount_usdt,original_user_address
Top 10 Borrower,WETH,40974,63000000,0xb8551abd2bb66498f6d257ae181d681fd2401e8a
Whale #3 (Tier-1 Holder),USDC,199999997,20000000,0xe5c248d8d3f3871bd0f68e9c4743459c43bb4e4c
Whale #3 (Tier-1 Holder),WETH,256313.97,20000000,0xe5c248d8d3f3871bd0f68e9c4743459c43bb4e4c
Whale #2 (Core Depositor),WETH,222421.77,20000000,0xfaf1358fe6a9fa29a169dfc272b14e709f54840f
Top 10 Borrower,WETH,10353,10000000,0x8fdc74bad4aa20904a362d4b69434a0cf4d97f43
Top 10 Borrower,USDT,25470580.37,9127394.72,0xc30f6ee36a1746dd71c7e81529eeae7ce2f52252
Top 10 Borrower,USDC,4011702.59,9127394.72,0xc30f6ee36a1746dd71c7e81529eeae7ce2f52252
Top 10 Borrower,weETH,3490641.97,9127394.72,0xc30f6ee36a1746dd71c7e81529eeae7ce2f52252
Top 10 Borrower,WETH,101239.52,9127394.72,0xc30f6ee36a1746dd71c7e81529eeae7ce2f52252
Top 10 Borrower,Other Collateral,0,9127394.72,0xc30f6ee36a1746dd71c7e81529eeae7ce2f52252
Whale #1 (ETH Giant),USDC,219999997,8000000,0x85e05c10db73499fbdecab0dfbb794a446feeec8
Whale #1 (ETH Giant),WETH,141506,8000000,0x85e05c10db73499fbdecab0dfbb794a446feeec8
Top 10 Borrower,USDC,190209991,5000000,0x6e9e81efcc4cbff68ed04c4a90aea33cb22c8c89
Top 10 Borrower,WETH,84891,5000000,0x6e9e81efcc4cbff68ed04c4a90aea33cb22c8c89
Whale #4 (Liquidity Provider),USDC,2454466006,3177674.17,0xa7c624014699a8b537cc4b326eb65f00852ee2a3
Whale #4 (Liquidity Provider),USDT,2154480427,3177674.17,0xa7c624014699a8b537cc4b326eb65f00852ee2a3
Whale #4 (Liquidity Provider),Other Collateral,1409514086,3177674.17,0xa7c624014699a8b537cc4b326eb65f00852ee2a3
Whale #4 (Liquidity Provider),WETH,13215811.83,3177674.17,0xa7c624014699a8b537cc4b326eb65f00852ee2a3
Whale #4 (Liquidity Provider),Other Collateral,4138706.54,3177674.17,0xa7c624014699a8b537cc4b326eb65f00852ee2a3
Whale #4 (Liquidity Provider),weETH,2244948.14,3177674.17,0xa7c624014699a8b537cc4b326eb65f00852ee2a3
Whale #4 (Liquidity Provider),wstETH,2133.34,3177674.17,0xa7c624014699a8b537cc4b326eb65f00852ee2a3
Whale #4 (Liquidity Provider),WBTC,80.14,3177674.17,0xa7c624014699a8b537cc4b326eb65f00852ee2a3
Whale #5 (Yield Arbitrager),USDT,1398295.09,2001625,0x4444ee1efbcfc7716754d4df119a1dbbe29934b3
Whale #5 (Yield Arbitrager),sDAI,558774.69,2001625,0x4444ee1efbcfc7716754d4df119a1dbbe29934b3
Whale #5 (Yield Arbitrager),USDC,117346.49,2001625,0x4444ee1efbcfc7716754d4df119a1dbbe29934b3
Whale #5 (Yield Arbitrager),Other Collateral,12950.23,2001625,0x4444ee1efbcfc7716754d4df119a1dbbe29934b3
Whale #5 (Yield Arbitrager),WETH,7324.28,2001625,0x4444ee1efbcfc7716754d4df119a1dbbe29934b3
Whale #5 (Yield Arbitrager),Other Collateral,978.04,2001625,0x4444ee1efbcfc7716754d4df119a1dbbe29934b3
Whale #5 (Yield Arbitrager),Other Collateral,99.41,2001625,0x4444ee1efbcfc7716754d4df119a1dbbe29934b3
Whale #5 (Yield Arbitrager),wstETH,26.61,2001625,0x4444ee1efbcfc7716754d4df119a1dbbe29934b3
Top 10 Borrower,USDT,591110.78,1500000,0x94def848159b30605afe0c1d1ac43d6d588b940a
Top 10 Borrower,WBTC,1839.64,1500000,0x94def848159b30605afe0c1d1ac43d6d588b940a
Top 10 Borrower,WETH,1194.6,1500000,0x94def848159b30605afe0c1d1ac43d6d588b940a
