user_address,outstanding_debt_usdt,current_hf,eth_liquidation_price,btc_liquidation_price
0xe5c248d8d3f3871bd0f68e9c4743459c43bb4e4c,295000001,2.15,1396.16,0
0xfaf1358fe6a9fa29a169dfc272b14e709f54840f,267000001,2.06,1455.06,0
0xc468315a2df54f9c076bd5cfe5002ba211f74ca6,207893167.9,2227.98,0.55,0
0x9cbf099ff424979439dfba03f00b5961784c06ce,163797285.1,1307.25,1.14,0
0x6e9e81efcc4cbff68ed04c4a90aea33cb22c8c89,103000001,2.04,1473.87,0
0x85e05c10db73499fbdecab0dfbb794a446feeec8,90000000,3.89,773.15,0
0xf6fd12fbf8bbe0e08ac739c3634cd1cb21acf5e9,90000000,5.45,550.55,0
0x34780c209d5c575cc1c1ceb57af95d4d2a69ddcf,82730957.95,3.76,799.29,0
0x4116812b89749563d40b0ffc187db7ce668711cb,69989999.94,3.91,768.24,0
0x4ed0b41dff79e0e53a054903873899bc32abc853,69190173,1.93,0,24139.36
0x517ce9b6d1fcffd29805c3e19b295247fcd94aef,68846150.11,6.17,387,0
0xed0c6079229e2d407672a117c22b62064f4a4312,67421017.7,49.36,61.42,0
0xb8551abd2bb66498f6d257ae181d681fd2401e8a,63000000,1.61,1863.71,0
0x7c697d6cff279f3f9c2401d0ea2ac7e7ede0e2c3,60350377.6,2.8,1070.95,0
0x99926ab8e1b589500ae87977632f13cf7f70f242,60155392.21,3.13,958.41,0
0xf744f66621df59861fe621444e473b595bb83ad4,60000000,4.46,672.7,0
0x94def848159b30605afe0c1d1ac43d6d588b940a,54498661.59,1.59,0,55356.35
0xdc3abf85e090528669cf1b44ef4082b269c21a95,51370000,2.88,1043.34,0
0xffefa70b6deaab975ef15a6474ce9c4214d82b02,50000000,1.37,2193.1,0
0x2269ce2753e2967dd5322a56188c3d24435b3588,41161793.58,1.5,1994.86,0
0xcd0673721a489b1cea0e2580fa304bcb6cca3186,40989332.97,1065.22,2.29,0
0xc86c66c430d40523a126795b9f03242740583d12,39689299.66,1.9,1306.48,0
0x0a0fa2b02ae73bd9eb4c1e086458099eca42476e,37777131.87,1.68,0,31638.14
0x09c2f460c925a00967a7daeef7af9f8e0a5032b2,33557313.68,0,999999,999999
0xe6d0ca9844f4c079e6e732f396ef3b9f98a2dac8,33105050.12,0,999999,999999
0xa028bef2835cab01d39dc3ff34abc46a2f665bb4,32422099,2.08,1435.64,0
0xaf9b98d2acde5f13eaeaeb0101273cdfa86dcc95,30252263.17,3236.87,0.14,0
0x7ee29373f075ee1d83b1b93b4fe94ae242df5178,27496103.67,0.01,999999,999999
0x08c6f91e2b681faf5e17227f2a44c307b3c1364c,26810573.56,1786.11,0,0
0x8c5cb83b823448e2369b54acb30f31203bef37a7,25292197.25,0,999999,999999
0xe67112647b7aea8b7490f27e1c75208868138df2,24352662.35,2.06,1454.75,0
0xf368d43f148e1803ec793670183b0ca6a07d3898,23517096.51,11.49,160.13,0
0x04b35d8eb17729b2c4a4224d07727e2f71283b73,22872831.14,1.3,2307.71,0
0xe84a061897afc2e7ff5fb7e3686717c528617487,22817125,6.08,495.24,0
0x741aa7cfb2c7bf2a1e7d4da2e3df6a56ca4131f3,21897330.88,21.89,138.6,0
0x66466428990e0f42a4c54f64bee0db6bf2336de5,21452798.16,1.65,1374.39,0
0xfec2adfa296fe189f53089fd5ccd8c28dd559cf2,21275237.18,0.74,999999,999999
0x96f49d0e9724dfd8780fa667ac37a993f005cb94,20510605.48,4.02,746.36,0
0x64471d103a7f77262529383d53bdd28b260b1ae8,20000100,4391.33,0,0
0x3b94e9fa105551b700e4965bf13db3153bb26557,19278455.99,3.17,0,0
0x7546966122e636a601a3ea4497d3509f160771d8,19253530.86,1.78,0,48926.58
0xb5c98c0d2861d39c538aff4e87cee946ffa1adf4,19149686.09,0.08,999999,999999
0x9d8f9295268674332a108ed7d2f537413fc8b9ea,18499999.16,0,999999,999999
0xe40d278afd00e6187db21ff8c96d572359ef03bf,18367542.6,4.58,655.31,0
0x2572223f5df9b5889e99554152e91e32c8e8a03b,18164993.49,1399.52,1.34,0
0x90d443b372b2a1212dda03c9b56c4e622688e981,17478543.21,4873.14,0.62,0
0x6b2563826bc176fda2099c47567f447fc32cc5b7,17399910.6,1.28,0,69981.45
0xe637b85b0649e2b4477663e1d219611d1aa3c64c,14664441.46,2.01,1489.75,0
0x1f2cfaddcad3a4e398fac6df39b51c310dd1729a,14599710.09,2.41,0,0
0x74600f1edcd794977b6848a459b0ce14c5d330e3,13798169.99,1.38,0,65349.61
