Block number,Block timestamp,Swap count,Avg price,Min price,Max price,Price stddev,Total volume usd,Volatility flag
24081688,49:35.0,1,86908.57556,86908.57556,86908.57556,,1593.17,NORMAL
24081687,49:23.0,2,86908.94222,86908.89901,86908.98542,0.061111281,32021.6,NORMAL
24081686,49:11.0,1,86909.34044,86909.34044,86909.34044,,324.66,NORMAL
24081685,48:59.0,1,86907.5348,86907.5348,86907.5348,,159.45,NORMAL
24081684,48:47.0,2,86908.90218,86908.83583,86908.96852,0.093821181,27845.29,NORMAL
24081683,48:35.0,3,86907.83496,86906.61335,86910.27819,2.115896434,303.35,NORMAL
24081682,48:23.0,2,86908.91098,86908.70609,86909.11587,0.289767668,4974.01,NORMAL
24081680,47:59.0,1,86909.19067,86909.19067,86909.19067,,2396.86,NORMAL
24081675,46:59.0,4,86909.10665,86908.30802,86909.79573,0.616616544,10804.15,NORMAL
24081674,46:47.0,1,86909.30882,86909.30882,86909.30882,,2588.9,NORMAL
24081664,44:47.0,1,86909.5557,86909.5557,86909.5557,,306.83,NORMAL
24081660,43:59.0,1,86909.01057,86909.01057,86909.01057,,2615.28,NORMAL
24081659,43:47.0,2,86909.09632,86909.01402,86909.17862,0.116387242,64342.86,NORMAL
24081657,43:23.0,1,86908.99897,86908.99897,86908.99897,,437946.15,NORMAL
24081640,39:59.0,5,86909.00444,86908.94882,86909.07294,0.045133672,257671.27,NORMAL
24081639,39:47.0,1,86916.9389,86916.9389,86916.9389,,64.79,NORMAL
24081635,38:59.0,1,86908.53681,86908.53681,86908.53681,,1876.52,NORMAL
24081631,38:11.0,1,87035.35811,87035.35811,87035.35811,,3.84,NORMAL
24081630,37:59.0,1,86922.86254,86922.86254,86922.86254,,56.19,NORMAL
24081628,37:35.0,1,86908.49233,86908.49233,86908.49233,,1514,NORMAL
24081627,37:23.0,4,86909.01913,86908.96733,86909.05804,0.038306486,58584.28,NORMAL
24081626,37:11.0,1,86909.14712,86909.14712,86909.14712,,4534.27,NORMAL
24081624,36:47.0,2,86909.23439,86909.07971,86909.38907,0.218758719,11277.2,NORMAL
24081623,36:35.0,2,86909.06309,86909.0192,86909.10699,0.062086646,38349.37,NORMAL
